TITLE	DATES	LOCATION	DESCRIPTION
Fictions More Precious	March 8, 2024 - April 20, 2024	Big Medium	Fictions More Precious features new and existing works from Rodell Warner’s Augmented Archive and Artificial Archive. In these works, the artist uses digital interventions in archival imagery to fictionalize the Caribbean’s past and interrogate the region’s photographic archive. Focusing on moments during photography’s infancy, a period shaped by the uneven power relations of colonialism, the artist interrogates, troubles, and laments the validity of the power of that archive.  Fictions More Precious runs from March 8 - April 20, 2024  Member Preview: March 8, 7-8 PM Opening Reception: March 8, 8-10 PM  Gallery Hours: Thursdays, Fridays, and Saturdays 12-6 PM
Folk Art Bazaar	March 21, 2024 - March 24, 2024	Lost Parrot Cabin	Take an adventure through this global bazaar of wonders - a kaleidoscope of colorful furnishings to vibrant textiles, hand-crafted Talavera pottery to towering Catrinas, vintage kitchenware to essential home appliances, & much more!
Inside Out Steelband in Concert	March 21, 2024	TSBVI Auditorium	Please join us on Thursday, March 21, at 7pm, as we perform with students from the Texas School for the Blind and Visually Impaired! This performance is the culmination of Inside Out’s residency at TSBVI, which is been a long standing tradition for Inside Out. Most importantly, this concert is free, family-friendly, and open to the public, so please bring your friends!  This concert will take place in the auditorium in building 602 of the Texas School for the Blind and Visually Impaired and is supported in part by the Cultural Arts Division of the City of Austin Economic Development Department.
French Cultural Festival	March 21, 2024	Bullock Texas State History Museum	Enjoy after-hours exhibition access and celebrate French culture in Texas.  This month, experience the rich tapestry of French culture at our French Cultural Festival. Learn about the grape varieties typically grown in the Rhône Valley with a wine tasting from French Connection Wines, embark on fun-filled games to learn more about the history and culture of France with Austin Accueil, and create a wine charm to take home.  This event is part of the French Cultures Festival coordinated by the Cultural Services of the French Embassy and the Consulate of France in Houston.
Honey Made w/ Big Sky Collective and Blue Tongue	March 21, 2024	Empire Control Room & Garage	Empire Presents: Honey Made with Big Sky Collective and Blue Tongue in Austin, TX at Empire Control Room on Thursday, March 21, 2024 Doors/ Show 7:30pm - 8:30pm Tickets: $12-$15 All Ages
Hope for Spring: Texas Water	March 20, 2024 - April 28, 2024	Neill-Cochran House Museum	Spring has returned to the Neill-Cochran House Museum, and with it the fourth annual Hope for Spring exhibition. As we step into spring, Texans begin to hear the call of the beautiful Texas waters from Austin’s Barton Springs Pool to Caddo Lake State Park, all the way to the beaches of Galveston. Whether it’s strolling along the San Antonio River Walk, tubing down the Comal River, or casting a fishing line off the pier in South Padre, Texans will always be pulled towards the water as we march towards the warmer months. Hope for Spring: Texas Water is our celebration of Texas water, and how it revitalizes not only us, but the land around us.  IMPORTANT DATES: Show Dates: Opens March 20th-April 28th Opening Reception: Saturday, March 23rd (free event) Hope for Spring Art on the Lawn: Sunday, April 14th, 11-3pm *This is an exclusive Art on the Lawn specifically for Hope for Spring participating artists.  Hope for Spring: Texas Water will be on display throughout the historic house museum embedded among the NCHM Collection. The exhibition is included with NCHM general admission. Learn more here: https://www.nchmuseum.org/hope-for-spring-texas-water
JASON MEWES	March 21, 2024 - March 23, 2024	Cap City Comedy Club	Known For: "Jay and Silent Bob," "Clerks" & "Dogma"  It's apparent that Jay Mewes, the vocal half of "Jay and Silent Bob," is a toned-down version of his iconic loudmouth character — a fast-talking, foul-mouthed, over-sexed but ultimately harmless guy. Outrageously inappropriate and oddly loveable, Mewes gets down and dirty with his audiences, leaving no raunchy stories untold.  Career Highlights: Roles in anything Kevin Smith has written ("Mallrats," "Chasing Amy," "Clerks II," "Jay and Silent Bob Strike Back," and "Zack and Miri Make a Porno"); appearances in "Degrassi," "Comic Book Men," and "@midnight;" cohost of "Jay & Silent Bob Get Old" podcast  VIP Meet & Greet available at checkout!  PLEASE NOTE: Our Balcony section for main room shows is NOT wheelchair accessible.     Thu, Mar 21, 2024  8:00 PM  Fri, Mar 22, 2024  7:30 PM 10:00 PM  Sat, Mar 23, 2024  7:30 PM 10:00 PM
Intermediate Two-Step Lessons	August 17, 2023 - August 8, 2024	Sam's Town Point	Join Double or Nothing Two-Step at 7:00 every Thursday night at Sam’s Town Point for free intermediate two-step lessons. Tips welcome! Followed by live music & dancing! Come dance with us!  Follow us on Instagram for all the two-steppin' fun! @DoubleOrNothingTwoStep
Intro to Homemade Sushi - Cooking Class	3/21/2024, 3/28/2024	Texas Sake Company	Join Classpop! for “Intro to Homemade Sushi” with Chef Desiree and learn how to craft amazing food! No cooking experience necessary: feel free to sit back and watch, or get hands-on. Each class is hosted in a local venue where you can learn something new while sipping your favorite beverage.  Classpop! offers fun-filled, hands-on cooking classes in the relaxed setting of your favorite local venues. Our professional chefs will guide you through making your favorite foods while you sip your favorite drink. Book your seats and grab a friend to join in on the fun!  Drinks are not included in ticket cost but can be purchased at the venue. For more, visit: https://www.classpop.com/cooking-classes/4696/intro-to-homemade-sushi
Julia C. Butridge Gallery Exhibit: Off The Clock	February 3, 2024 - March 30, 2024	Dougherty Arts Center	On display at the Julia C. Butridge Gallery, the exhibit "Off The Clock" a group exhibition of artworks by the Dougherty Arts Center's staff.  Off The Clock invites you to explore the creativity that defines Dougherty Arts Center’s talented team. From vivid brushstrokes to digital masterpieces, each piece offers a glimpse into the imaginative minds that contribute to our dynamic workplace, revealing the unique perspectives and artistic endeavors that flourish within our community. As you wander through the gallery, discover the depth of talent and inspiration that fuels our collective spirit and propels us forward. Join us in recognizing the dedication, passion, and creativity that makes Dougherty staff truly exceptional.
Last Week of 'GARY JAMES McQUEEN' Exhibit	March 20, 2024 - March 24, 2024	West Chelsea Contemporary	Don't miss the last chance to view GARY JAMES McQUEEN at West Chelsea Contemporary, the first solo US exhibition by London-based artist Gary James McQueen – nephew of renowned fashion icon Alexander ‘Lee’ McQueen. The gallery opened the exhibit on March 2, presenting for the first time the artist’s entire body of work, influenced by the mentorship of Lee from a young age, which encouraged his creative exploration and fostered his ability to world-build at the intersection of art, fashion and technology. GARY JAMES McQUEEN is running through Sunday, March 24.  From beginning roles in design at the house of McQueen, creating a first of its kind, fully digital fashion show under his own brand, and designing ‘skins’ for avatars with the likes of Disney’s latest collaborator, Epic Games – to breathing life into his trademark chrome skull artwork that became the face of the exhibit which traveled to The Met and Victoria and Albert Museum in 2010, Gary James McQueen is ever pushing the envelope of what it means to be an artist. This first solo exhibit in the US serves as an exploration of artistic innovation, an homage to familial heritage, and an invitation to experience the extraordinary future of creative expression.
Legacies of the Treaty of Guadalupe Hidalgo Exhibition	February 16, 2024 - May 16, 2025	Bullock Texas State History Museum	Explore the short-term and long-term impacts of the Treaty of Guadalupe Hidalgo through artifacts, documents, artworks, and media.  Featuring 29 artifacts, the special focus exhibit, located in the Statehood Gallery on the Second Floor of the Texas History Gallery, explores the short-term and long-term impacts of the Treaty of Guadalupe Hidalgo on Texas, the United States, Mexico, and Tribal Nations.  At the heart of the exhibit is the Treaty itself, a document that established the border between Texas and Mexico at the Rio Grande and ceded over half of Mexico's northernmost lands to the United States. Don't miss the handwritten pages of the Treaty of Guadalupe Hidalgo, on loan from the National Archives and Records Administration in Washington, D.C.
Music America: Iconic Objects from America's Music History Exhibit	February 17, 2024 - August 11, 2024	LBJ Presidential Library	Music America exhibit debuts at the LBJ Presidential Library and is on display from February 17 - August 11, 2024. This new exhibit features more than 100 iconic objects from America's music history. The LBJ Presidential Library and the Bruce Springsteen Archives & Center for American Music invite you to explore the exhibit "Music America: Iconic Objects from America's Music History," on display at the LBJ Library.  The Library is open daily from 9 – 5. Last visitor admitted at 4 pm.  "Music America" features instruments, hand-written original lyrics, books, photographs, costumes and other objects from major artists performing in all walks of American music in different decades and tells the story of those artists who contributed to it. Visitors will be able to see artifacts from Texas artists Buddy Holly, Janis Joplin, Stevie Ray Vaughan and Willie Nelson as well as national performers B.B. King, Billie Holiday, Bob Dylan, Carlos Santana, Ella Fitzgerald, Elvis Presley, Frank Sinatra, Jimi Hendrix, Johnny Cash, Lead Belly, Sam Cooke, Whitney Houston, and more.  "Music America" is curated by the Bruce Springsteen Archives & Center for American Music in association with the Rock & Roll Hall of Fame and Museum, New Orleans Jazz Museum, Hard Rock International and other institutions nationwide.
March Madness	March 19, 2024 - March 31, 2024	Meanwhile Brewing Co.	Looking for somewhere to watch the March Madness games? Make that somewhere Meanwhile!⁠ We're taking a pause on our concerts for the next couple of weeks to show games on our big outdoor screen.⁠ Come early to claim your spot. We'll see you soon! Follow @meanwhilebeer on Instagram or check out meanwhilebeer.com to stay updated!
Little Texans: Wildflowers of Texas	March 21, 2024	Bullock Texas State History Museum	Explore a different symbol of Texas each month through stories, crafts, and hands-on activities with special guests.  Learn about the wildflowers of Texas, make a bluebonnet craft, and listen to stories about wildflowers. Drop in for this hands-on program incorporating movement, play, and tactile learning into engaging experiences where younger children (ages 2–5) can discover something new alongside their caregivers.
Margarita Madness	March 14, 2024 - April 7, 2024	Desert Door Distillery	Desert Door presents Margarita Madness, a clash of titans that will result in one superior marg to rule them all. The competition will be running bracket style from Thursday, March 14 to Sunday, April 7 with a total of eight margaritas: four the first weekend and four the second, followed by a round of four and a final head-to-head competition. Visitors can come down to the tasting room Thursday through Sunday to try them all and vote their favorite to the final! For full tasting room operating hours, please visit www.desertdoor.com/the-distillery.  Join us every weekend in March during our regular Tasting Room hours Th-Sun - Week One | March 14-17: Samples of the first 4 competitors* - Week Two | March 21-24: Samples of the second 4 competitors* - Week Three | March 28-31: Samples of the winning cocktails from weeks one and two* - Week Four Finale | April 4-7: Two fully dressed margaritas, head to head*
Red Dress Exhibition	March 9, 2024 - April 6, 2024	George Washington Carver Museum, Cultural & Genealogy Center	We Ride For Her team will host several events during the festival’s run. On Saturday, March 9, the Medicine Wheel Riders will embark on a Medicine Wheel Ride through Austin on motorcycles lent by Harley-Davidson®, departing at 12:30pm from Cowboy Harley-Davidson® of Austin.  The ride will end at 4:30pm at The George Washington Carver Museum and Cultural Center, where the team behind We Ride For Her has organized a Red Dress Exhibition, featuring empty red dresses hanging through the museum’s lobby as a visual representation of the spirits of missing and murdered Indigenous women, girls, and 2Spirit individuals, inspired by the work of Métis artist Jaime Black. Upon the culmination of the ride at the museum, the community will celebrate the exhibition’s opening with a reception and remarks. The Red Dress Exhibition will remain open to the public from March 9 through April 6, 2024.  On Sunday, March 10, at 3:00 PM, following the film’s premiere, Level Forward will present a conversation at the The George Washington Carver Museum, ignited by the topics and themes of We Ride For Her. This event will excavate and amplify the roots of Black, Brown, and Indigenous solidarity as well as uplift the community ownership model deployed by We Ride For Her, centering equity, transparency, and wealth sharing. RSVP here for the panel.
The Alice Season 2: Through The Looking Glass	February 21, 2024 - March 24, 2024	Secret Location	Journey back to Wonderland and enter the splendid castle of The White Queen. For all Alice lovers, we welcome you back for our brand-new experience.  Join Alice, and meet some quirky characters along the way in her quest to turn back time. Solve riddles with The Cheshire Cat, play chess with The White Queen, and hear the tale of how Alice defeats the Jabberwocky and help her find a lost item. During your thrilling adventure, you will discover hidden secrets in chests, learn the Futterwacken dance and create a tasty smoking cocktail concoction as you pick your brain and untangle whether Wonderland is all an extraordinary dream or a crazy reality.  Expect a new and beautiful unique design, new tasty cocktails, and lots of surprises along the way! Your ticket includes 90 minutes in Wonderland, a welcome drink, 2x bespoke cocktails, and a sweet treat!  NOTE: -- The location will be disclosed to you after you've purchased your ticket.  -- This is a strictly 21+ event. Family friendly sessions are available for under 21s. -- Tickets are sold on a non-refundable basis. -- Date transfers are available at the discretion of the event organizer and there is a fee to do so.
Sharks Exhibition	November 22, 2023 - March 24, 2024	Bullock Texas State History Museum	Sharks is organized by the American Museum of Natural History, New York. The Museum gratefully acknowledges Warner Bros. Discovery for its generous support of Sharks. A selection of footage in Sharks has been provided by Discovery's Shark Week.  The Bullock Museum, a division of the Texas State Preservation Board, is funded by Museum members, donors, and patrons, the Texas State History Museum Foundation, and the State of Texas.
This Friday: Saakred + Alejandra Regalado	March 8, 2024 - April 13, 2024	Big Medium	The Projecto’s Brand New Art Gallery Pioneering Experimental Projects by Emerging and Established Artists with a Diverse Selection and a Unique Perspective.  Upcoming March 8 - April 14, 2024: Gallery: Reimagining Aztlán: A Virtual Utopia, A Virtual Playground by Saakred Showroom: Inner Surface by Alejandra Regalado
The Floating World Exhibit	February 11, 2024 - June 30, 2024	Blanton Museum of Art	After centuries of conflict and war, Japan’s Edo period (1603–1868) was a time of peace, stability, and economic growth. Enjoy more than 130 woodblock prints and painted scrolls from one of history’s most vibrant artistic eras.  These “pictures of the floating world” depict the lifestyle, pleasures, and interests of the urban population— from samurais, geishas, and kabuki actors to boat parties, palaces, and lush landscapes.  Not to be missed, this presentation marks the first time the Worcester Art Museum is touring its famed collection of Japanese artworks. The Floating World: Masterpieces of Edo Japan from the Worcester Art Museum will be on view starting February 11, 2024 through June 30, 2024.
Tribute to W.C. Clark	March 21, 2024	Texas Music Museum	Join us for a tribute honoring the legendary Godfather of Austin Blues, W.C. Clark, this Thursday, March 21st! Featuring Jay’s Jazz, the Texas Music Museum’s House Band. Show starts at 1PM at the Texas Music Museum located at 1009 E 11th St.
Two Births and the Afterlife Exhibit	January 11, 2024 - April 20, 2024	George Washington Carver Museum, Cultural & Genealogy Center	Two Births and the Afterlife features a new body of work by Milwaukee-based artist Aimée M. Everett, exploring the profound transformations experienced during childbirth and the subsequent journey of self-discovery into motherhood. The artist delves into the poignant realization that with every birth, there exists a simultaneous death—the departure of one's former identity to welcome a new, evolved self. Everett vividly portrays the overwhelming joy and simultaneous dissolution of familiar aspects of identity. This body of work—employing abstraction, minimalistic line-making, saturated colors, and melodic compositions—serves as an emotional odyssey.    The months following the birth unfolded into a challenging transition period.
Youth Art Month	February 26, 2024 - March 30, 2024	Bullock Texas State History Museum	March is Youth Art Month, a nationally recognized program that emphasizes the value of art education for all children, encourages support for quality school art programs, and promotes the importance of art appreciation for all people. Sponsored in Texas by the Texas Art Education Association (TAEA), the state has been a leader in Youth Art Month celebrations since the program began in 1961.  Throughout the month of March, the Museum's Third Floor Rotunda is home to an exhibition of over 100 original pieces of student artwork created by K-12 students from across the state. Visitors will enjoy an exhibit that showcases the talents and self-expression of the students of Texas.
Rodeo Austin 2024	March 8, 2024 - March 23, 2024	Travis County Exposition Center	Rodeo Austin returns to the Travis County Expo Center March 2024 as a full-blown family affair, boasting a thrilling lineup of ProRodeo events, livestock shows, daily concerts, carnival attractions and much more. The must-attend Austin event takes place daily, March 8-23, 2024. If you're planning to be in Austin to attend the event, here's everything you need to know.  The 2024 lineup features artists William Clark Green, Gary Allen, Los Huracanes Del Norte, Ashley McBryde, Jamey Johnson, 38 Special, Jake Owen, Sawyer Brown and more! Tickets are available for purchase starting January 19th at rodeoaustin.com/tickets.  The fairgrounds open at 10 a.m. daily and offer hours of entertainment with carnival games and rides, shopping, food, shows and educational activities. Visit Kidztown for a petting zoo and other fun activities. Be sure to make time for additional special events that include the Gala, Cowboy Breakfast and BBQ Austin (March 1-2, 2024).
poolboy: don't pick up	March 21, 2024 - March 23, 2024	The Museum of Human Achievement	"poolboy: don’t pick up" is a queer immersive party and performance about submissiveness, friendship, and failure. Your computer is whitehot in your lap. What happens next is entirely in your control.  poolboy is trying to write a murder mystery. His best friend, momgrab (artist Julia Mounsey), is ghosting him. To avoid writing, poolboy will do anything you say. Anything. "don’t pick up" seems simple, an excavation of 20 years of writing: from School of Rock fanfic to failed plays to abandoned journals. The audience freely interrupts with questions, new conversation topics, or by giving poolboy tasks to complete on the spot. Reality and fiction intertwine. All is not what it seems. "poolboy: don’t pick up" is pure chaos: a participatory, living, white-knuckle document of poolboy’s very real life.  This project is supported in part by the City of Austin Economic Development Department.
'GARY JAMES McQUEEN' Debut Solo US Exhibit	March 2, 2024 - March 24, 2024	West Chelsea Contemporary	West Chelsea Contemporary is thrilled to share with Austin the opening of GARY JAMES McQUEEN, the first solo US exhibition by London-based artist Gary James McQueen – nephew of renowned fashion icon Alexander ‘Lee’ McQueen. The gallery is presenting for the first time the artist’s entire body of work, influenced by the mentorship of Lee from a young age, which encouraged his creative exploration and fostered his ability to world-build at the intersection of art, fashion and technology. GARY JAMES McQUEEN opens on Saturday, March 2 and runs through Sunday, March 24.  From beginning roles in design at the house of McQueen, creating a first of its kind, fully digital fashion show under his own brand, and designing ‘skins’ for avatars with the likes of Disney’s latest collaborator, Epic Games – to breathing life into his trademark chrome skull artwork that became the face of the exhibit which traveled to The Met and Victoria and Albert Museum in 2010, Gary James McQueen is ever pushing the envelope of what it means to be an artist. This first solo exhibit in the US serves as an exploration of artistic innovation, an homage to familial heritage, and an invitation to experience the extraordinary future of creative expression.
A Gentle Seed: New Artworks from Ghana	March 8, 2024 - April 20, 2024	McLennon Pen Co. Gallery	Public Opening Reception: Friday, March 8th, 6–9 PM  McLennon Pen Co. Gallery is thrilled to announce a group show of paintings by artists from Ghana, including Selorm Amekorfia, Theresah Ankomah, Kwabena Fordjour, Salihu Mohammed, Daniel Tetteh Nartey, Azmina-Toure, and Rufai Zakari.
Anni Albers: In Thread and On Paper	February 11, 2024 - June 30, 2024	Blanton Museum of Art	Anni Albers (1899–1994) is considered the most important textile artist of the 20th century. Known for her wall hangings, weavings, and designs, she was also an innovative educator and printmaker. Anni Albers: In Thread and On Paper highlights how nimbly Albers moved between mediums—including her shift from weaving to printmaking in the 1960s—and transitioned between making art and designing functional and commercial objects. In addition to Albers’s woven rugs, tapestries, drawings, and prints, the exhibition features her loom and wallpaper based on her designs. Anni Albers: In Thread and On Paper will be on view starting February 11, 2024 through June 30, 2024.
NASCAR at COTA	March 22, 2024 - March 24, 2024	Circuit of The Americas™ COTA	Race fans will experience another unforgettable weekend of NASCAR in Austin, Texas when the NASCAR Cup Series (NCS), NASCAR Xfinity Series (NXS) and NASCAR CRAFTSMAN Truck Series (NCTS) return to Circuit of The Americas (COTA) March 22-24, 2024. The action-packed NASCAR at COTA weekend will Keep Austin Wheeled with the EchoPark Automotive Grand Prix on Sunday preceded by the NASCAR Xfinity Series 250 and XPEL 225 on Saturday.  Tickets: Fans can purchase tickets and camping for the 2024 NASCAR at COTA weekend by visiting NASCARatCOTA.com. The full weekend schedule will be announced at a later date.
American History: Elevate Vol 3	February 3, 2024 - March 24, 2024	RichesArt Gallery	Celebrate the richness of Black History Month with RichesArt Gallery's exhibition, "American History: Elevate." This is the 3rd adaptation of the American History Exhibit. Immerse yourself in the transformative narratives of six exceptional artists as they redefine history through their powerful and thought-provoking creations. This year's adaptation, aptly titled "Elevate," goes beyond the canvas to represent the positive impact we are set to make with this extraordinary showcase.  In an innovative twist, participating artists will not only display their remarkable works but will also be entrusted with a mission to create a lasting positive impact on the community. This art show is pioneering change by providing artists with the opportunity to contribute to their communities through a scholarship grant initiative. This dynamic fusion of art and social responsibility sets "American History: Elevate" apart, creating a platform where creativity meets purpose.  Join us in commemorating Black History Month by experiencing the synergy of art and activism. Witness history unfolds as RichesArt Gallery propels its commitment to elevate not just artistic expression but the communities that inspire it. Stay tuned for updates and immerse yourself in the transformative power of "American History: Elevate."
Arin Ray - Phases III Tour	March 22, 2024	Empire Control Room & Garage	Live Nation & Resound Present: Arin Ray - Phases III Tour at Empire Control Room on 3/22 Doors 7:00pm / Show 8:00pm All Ages
